inventory_id,part_num,color_id,quantity,is_spare
28,3034,0,2,f
28,3034,15,1,f
28,3035,15,1,f
28,30359b,0,2,f
28,3036,15,1,f
28,30361c,72,1,f
28,30363,15,3,f
28,3039pr0001,15,1,f
28,3039pr0002,15,1,f
28,3040b,15,2,f
28,30592,72,1,f
28,3069b,15,1,f
28,3069b,33,2,f
28,3070b,34,1,t
28,3070b,36,1,f
28,3070b,36,1,t
28,3070b,34,1,f
28,3245b,15,4,f
28,3633,0,2,f
28,3660,15,2,f
28,3665,15,2,f
28,3678b,15,2,f
28,3710,1,1,f
28,3749,19,1,f
28,3794a,1,3,f
28,3795,14,2,f
28,3829c01,1,1,f
28,3900,15,1,f
28,3937,71,1,f
28,3938,0,1,f
28,3939,40,2,f
28,3941,15,1,f
28,3962b,0,2,f
28,4079,1,2,f
28,4081b,1,1,f
28,4162,72,2,f
28,41767,15,1,f
28,41768,15,1,f
28,42022,15,4,f
28,4289,15,1,f
28,43093,1,1,f
28,4315,15,1,f
28,43337,15,2,f
28,43337,4,2,f
28,43337,40,4,f
28,43722,15,1,f
28,43723,15,1,f
28,44126,15,2,f
28,44661,15,1,f
28,44675,71,2,f
28,44728,15,2,f
28,4477,15,2,f
28,4599a,71,2,f
28,4617b,0,1,f
28,4733,0,1,f
28,48064c02,25,1,f
28,4865a,14,4,f
28,50304,15,1,f
28,50305,15,1,f
28,54100,0,1,f
28,54101,71,1,f
28,54200,33,6,f
28,55544,9999,1,f
28,6087,15,1,f
28,6140,15,4,f
28,6141,46,3,f
28,6141,46,2,t
28,6141,1,2,t
28,6141,36,2,f
28,6141,36,2,t
28,6141,34,1,f
28,6141,1,5,f
28,6141,34,1,t
28,6231,4,2,f
28,6553,72,1,f
30,11062,0,1,f
30,2423,2,1,f
30,2432,4,1,f
30,3003,71,3,f
30,3010,322,2,f
30,3020,4,1,f
30,3020,322,6,f
30,3022,322,3,f
30,3023,322,2,f
30,3035,15,3,f
30,30374,19,2,f
30,3039,15,2,f
30,3040b,15,5,f
30,30565,15,3,f
30,3069b,320,1,f
30,3069b,41,24,f
30,3069b,15,6,f
30,3069b,47,8,f
30,3070b,19,1,t
30,3070b,19,2,f
30,32474,15,2,f
30,33291,10,1,t
30,33291,10,4,f
30,3626c,47,1,f
30,3795,15,1,f
30,3937,72,1,f
30,4081b,0,1,f
30,4286,15,9,f
30,4740,0,1,f
30,6005,320,2,f
30,60481,320,2,f
30,61252,19,2,f
30,6134,1,1,f
30,6141,4,1,t
30,6141,15,5,f
30,6141,71,1,t
30,6141,71,4,f
30,6141,15,1,t
30,6141,4,2,f
30,85984,4,1,f
30,93555,179,4,f
30,93555,179,1,t
30,98138,179,1,t
30,98138,179,2,f
31,upn0278c01,0,1,f
33,2340,4,2,f
33,2413,15,2,f
33,2420,4,4,f
33,2421,0,4,f
33,2431,4,1,f
33,2431,15,1,f
33,2437,41,1,f
33,3002,0,1,f
33,3004,15,2,f
33,3005,15,6,f
33,3020,15,4,f
33,3020,4,1,f
33,3021,4,1,f
33,3021,15,3,f
33,3022,4,2,f
33,3023,15,2,f
33,3023,4,3,f
33,3024,4,2,f
33,3024,15,2,f
33,3030,15,1,f
33,3034,15,1,f
33,3037,15,2,f
33,3039pr9970,0,1,f
33,3040b,15,2,f
33,3068bpr0061,15,1,f
33,3069b,4,2,f
33,3069b,15,2,f
33,3139,0,6,f
33,3460,15,2,f
33,3660,15,3,f
33,3660,4,2,f
33,3665,4,2,f
33,3665,15,2,f
33,3666,4,3,f
33,3666,15,2,f
33,3676,15,2,f
33,3679,7,1,f
